family,k_c,log2_M_c,log2_M_c_minus_log2_p,precision_bits,use_offset,chain_length,n_chains,seed,survived,survival_rate,implied_per_step_abort,median_abort_step,elapsed_seconds
wide20,13,260.0013193839023,4.001319383902285,10,True,512,2000,244836280990628,1322,0.661,0.0008082697346987189,242,6.24
wide20,13,260.0013193839023,4.001319383902285,12,True,512,2000,244838246627625,1807,0.9035,0.00019818186123510273,268,8.89
wide20,13,260.0013193839023,4.001319383902285,14,True,512,2000,244836713967424,1951,0.9755,4.844632432754459e-05,207,9.45
wide20,13,260.0013193839023,4.001319383902285,16,True,512,2000,244837390302516,1984,0.992,1.5687712292766776e-05,307,9.64
wide20,13,260.0013193839023,4.001319383902285,14,False,512,2000,244837207020142,1658,0.829,0.00036621246660240026,252,8.26
wide20,15,300.0018559196968,44.00185591969682,14,True,512,2000,244838580713410,1954,0.977,4.544550431273553e-05,252,10.78
wide20,16,320.00215445068966,64.00215445068966,14,True,512,2000,244834875566409,1932,0.966,6.755913334466346e-05,261,11.26
standard17,16,256.0186123491192,0.01861234911922338,14,True,512,2000,244835209768489,1929,0.9645,7.059408358200958e-05,295,10.45
standard17,16,256.0186123491192,0.01861234911922338,14,False,512,2000,244835596666576,1607,0.8035,0.00042720968440679297,252,9.83
