family,k_c,log2_M_c,log2_M_c_minus_log2_p,distribution,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
standard17,14,224.01364152056328,-31.986358479436717,product_modMc,14,False,1000000,12841637863730,374,0.000374,999194,0,"{""-1"": 374, ""0"": 999626}",4.614
standard17,14,224.01364152056328,-31.986358479436717,product_modMc,14,True,1000000,12839199950987,60,6e-05,999128,0,"{""-1"": 12, ""0"": 999940, ""1"": 48}",4.655
standard17,14,224.01364152056328,-31.986358479436717,product_modMc,16,False,1000000,12841250234039,109,0.000109,999763,0,"{""-1"": 109, ""0"": 999891}",6.312
standard17,14,224.01364152056328,-31.986358479436717,product_modMc,16,True,1000000,12841094022672,7,7e-06,999777,0,"{""-1"": 1, ""0"": 999993, ""1"": 6}",6.852
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,6,False,1000000,12838229651921,108816,0.108816,766500,0,"{""-1"": 108816, ""0"": 891184}",6.506
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,6,True,1000000,12838073440554,13391,0.013391,765883,0,"{""-1"": 6637, ""0"": 986609, ""1"": 6754}",6.328
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,8,False,1000000,12840996415464,27489,0.027489,941259,0,"{""-1"": 27489, ""0"": 972511}",6.96
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,8,True,1000000,12840839941953,3316,0.003316,941505,0,"{""-1"": 1739, ""0"": 996684, ""1"": 1577}",6.211
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,10,False,1000000,12841044993389,6829,0.006829,985213,0,"{""-1"": 6829, ""0"": 993171}",6.513
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,10,True,1000000,12838305090758,845,0.000845,985439,0,"{""-1"": 422, ""0"": 999155, ""1"": 423}",6.547
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,12,False,1000000,12841497536011,1720,0.00172,996345,0,"{""-1"": 1720, ""0"": 998280}",6.597
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,12,True,1000000,12839192543965,199,0.000199,996294,0,"{""-1"": 91, ""0"": 999801, ""1"": 108}",6.803
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,14,False,1000000,12838108293496,443,0.000443,999075,0,"{""-1"": 443, ""0"": 999557}",6.853
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,14,True,1000000,12839596249297,48,4.8e-05,999110,0,"{""-1"": 27, ""0"": 999952, ""1"": 21}",6.742
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,16,False,1000000,12840875057039,99,9.9e-05,999793,0,"{""-1"": 99, ""0"": 999901}",7.274
standard17,15,240.01608298306616,-15.983917016933844,product_modMc,16,True,1000000,12840148158184,13,1.3e-05,999774,0,"{""-1"": 8, ""0"": 999987, ""1"": 5}",6.849
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,6,False,1000000,12837887428417,117185,0.117185,750226,0,"{""-1"": 117185, ""0"": 882815}",6.94
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,6,True,1000000,12841858412186,15347,0.015347,749966,0,"{""-1"": 3798, ""0"": 984653, ""1"": 11549}",6.906
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,8,False,1000000,12839096454599,29199,0.029199,937354,0,"{""-1"": 29199, ""0"": 970801}",6.984
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,8,True,1000000,12838772471072,3810,0.00381,937758,0,"{""-1"": 933, ""0"": 996190, ""1"": 2877}",6.573
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,10,False,1000000,12841393441612,7433,0.007433,984448,0,"{""-1"": 7433, ""0"": 992567}",7.158
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,10,True,1000000,12838586167973,910,0.00091,984237,0,"{""-1"": 241, ""0"": 999090, ""1"": 669}",7.378
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,12,False,1000000,12839596540259,1836,0.001836,996098,0,"{""-1"": 1836, ""0"": 998164}",6.893
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,12,True,1000000,12839406774460,239,0.000239,996013,0,"{""-1"": 59, ""0"": 999761, ""1"": 180}",6.973
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,14,False,1000000,12841490611944,428,0.000428,999047,0,"{""-1"": 428, ""0"": 999572}",6.786
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,14,True,1000000,12841367955009,82,8.2e-05,999004,0,"{""-1"": 18, ""0"": 999918, ""1"": 64}",7.126
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,16,False,1000000,12838083359999,135,0.000135,999741,0,"{""-1"": 135, ""0"": 999865}",7.341
standard17,16,256.0186123491192,0.01861234911922338,product_modMc,16,True,1000000,12839638162520,16,1.6e-05,999771,0,"{""-1"": 2, ""0"": 999984, ""1"": 14}",7.307
standard17,16,256.0186123491192,0.01861234911922338,product_modp,6,False,1000000,12840885286585,118978,0.118978,759821,0,"{""-1"": 118978, ""0"": 881022}",5.978
standard17,16,256.0186123491192,0.01861234911922338,product_modp,6,True,1000000,12840762367506,8651,0.008651,759057,0,"{""-1"": 3854, ""0"": 991349, ""1"": 4797}",6.308
standard17,16,256.0186123491192,0.01861234911922338,product_modp,8,False,1000000,12838551499838,29592,0.029592,949574,0,"{""-1"": 29592, ""0"": 970408}",6.434
standard17,16,256.0186123491192,0.01861234911922338,product_modp,8,True,1000000,12838261070743,995,0.000995,949782,0,"{""-1"": 985, ""0"": 999005, ""1"": 10}",5.836
standard17,16,256.0186123491192,0.01861234911922338,product_modp,10,False,1000000,12839506061909,7341,0.007341,992659,0,"{""-1"": 7341, ""0"": 992659}",6.099
standard17,16,256.0186123491192,0.01861234911922338,product_modp,10,True,1000000,12838812979630,215,0.000215,992586,0,"{""-1"": 215, ""0"": 999785}",6.12
standard17,16,256.0186123491192,0.01861234911922338,product_modp,12,False,1000000,12841199069146,1795,0.001795,998205,0,"{""-1"": 1795, ""0"": 998205}",6.108
standard17,16,256.0186123491192,0.01861234911922338,product_modp,12,True,1000000,12841042595635,48,4.8e-05,998150,0,"{""-1"": 48, ""0"": 999952}",6.193
standard17,16,256.0186123491192,0.01861234911922338,product_modp,14,False,1000000,12840040999032,476,0.000476,999524,0,"{""-1"": 476, ""0"": 999524}",6.174
standard17,16,256.0186123491192,0.01861234911922338,product_modp,14,True,1000000,12839313065290,17,1.7e-05,999546,0,"{""-1"": 17, ""0"": 999983}",6.154
standard17,16,256.0186123491192,0.01861234911922338,product_modp,16,False,1000000,12840358026895,121,0.000121,999879,0,"{""-1"": 121, ""0"": 999879}",6.494
standard17,16,256.0186123491192,0.01861234911922338,product_modp,16,True,1000000,12839932083041,4,4e-06,999882,0,"{""-1"": 4, ""0"": 999996}",6.978
standard17,17,272.0212735604559,16.02127356045588,product_modMc,6,False,1000000,12840478570855,125621,0.125621,733747,0,"{""-1"": 125621, ""0"": 874379}",6.986
standard17,17,272.0212735604559,16.02127356045588,product_modMc,6,True,1000000,12837871326777,14368,0.014368,734303,0,"{""-1"": 7170, ""0"": 985632, ""1"": 7198}",7.247
standard17,17,272.0212735604559,16.02127356045588,product_modMc,8,False,1000000,12838950104958,31119,0.031119,933874,0,"{""-1"": 31119, ""0"": 968881}",7.598
standard17,17,272.0212735604559,16.02127356045588,product_modMc,8,True,1000000,12838659675863,3693,0.003693,933438,0,"{""-1"": 1902, ""0"": 996307, ""1"": 1791}",7.124
standard17,17,272.0212735604559,16.02127356045588,product_modMc,10,False,1000000,12840743513347,7642,0.007642,983580,0,"{""-1"": 7642, ""0"": 992358}",7.438
standard17,17,272.0212735604559,16.02127356045588,product_modMc,10,True,1000000,12840553747548,818,0.000818,983640,0,"{""-1"": 416, ""0"": 999182, ""1"": 402}",7.393
standard17,17,272.0212735604559,16.02127356045588,product_modMc,12,False,1000000,12841563857690,1889,0.001889,995890,0,"{""-1"": 1889, ""0"": 998111}",7.19
standard17,17,272.0212735604559,16.02127356045588,product_modMc,12,True,1000000,12840904329843,206,0.000206,995920,0,"{""-1"": 92, ""0"": 999794, ""1"": 114}",7.727
standard17,17,272.0212735604559,16.02127356045588,product_modMc,14,False,1000000,12839230333087,490,0.00049,998905,0,"{""-1"": 490, ""0"": 999510}",7.221
standard17,17,272.0212735604559,16.02127356045588,product_modMc,14,True,1000000,12838906349560,66,6.6e-05,998967,0,"{""-1"": 28, ""0"": 999934, ""1"": 38}",7.244
standard17,17,272.0212735604559,16.02127356045588,product_modMc,16,False,1000000,12841795507894,123,0.000123,999739,0,"{""-1"": 123, ""0"": 999877}",7.97
standard17,17,272.0212735604559,16.02127356045588,product_modMc,16,True,1000000,12841672850959,13,1.3e-05,999735,0,"{""-1"": 5, ""0"": 999987, ""1"": 8}",8.46
standard17,17,272.0212735604559,16.02127356045588,product_modp,6,False,1000000,12840772229232,1000000,1.0,0,0,"{""-1"": 1000000}",6.725
standard17,17,272.0212735604559,16.02127356045588,product_modp,6,True,1000000,12840179810249,499834,0.499834,0,0,"{""-1"": 499834, ""0"": 500166}",5.979
standard17,17,272.0212735604559,16.02127356045588,product_modp,8,False,1000000,12841189920391,1000000,1.0,0,0,"{""-1"": 1000000}",6.097
