family,k_c,log2_M_c,log2_M_c_minus_log2_p,target_frac,pool_size,rejection_attempts,rejection_rate,precision_bits,use_offset,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution
standard17,13,208.01150776267116,-47.98849223732884,0.01,10000,999806,0.010001940376433028,14,False,191031936505104,378,0.0378,9622,0,"{""-1"": 378, ""0"": 9622}"
standard17,13,208.01150776267116,-47.98849223732884,0.01,10000,999806,0.010001940376433028,14,True,191031936505104,32,0.0032,9622,0,"{""-1"": 32, ""0"": 9968}"
standard17,13,208.01150776267116,-47.98849223732884,0.01,10000,999806,0.010001940376433028,16,False,191031936505104,102,0.0102,9898,0,"{""-1"": 102, ""0"": 9898}"
standard17,13,208.01150776267116,-47.98849223732884,0.01,10000,999806,0.010001940376433028,16,True,191031936505104,1,0.0001,9898,0,"{""-1"": 1, ""0"": 9999}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,6,False,191034325533897,9998,0.9998,2,0,"{""-1"": 9998, ""0"": 2}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,6,True,191034325533897,1233,0.1233,2,0,"{""-1"": 1233, ""0"": 8767}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,8,False,191034325533897,4725,0.4725,5275,0,"{""-1"": 4725, ""0"": 5275}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,8,True,191034325533897,305,0.0305,5275,0,"{""-1"": 305, ""0"": 9695}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,10,False,191034325533897,1154,0.1154,8846,0,"{""-1"": 1154, ""0"": 8846}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,10,True,191034325533897,76,0.0076,8846,0,"{""-1"": 76, ""0"": 9924}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,12,False,191034325533897,276,0.0276,9724,0,"{""-1"": 276, ""0"": 9724}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,12,True,191034325533897,19,0.0019,9724,0,"{""-1"": 19, ""0"": 9981}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,14,False,191034325533897,60,0.006,9940,0,"{""-1"": 60, ""0"": 9940}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,14,True,191034325533897,1,0.0001,9940,0,"{""-1"": 1, ""0"": 9999}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,16,False,191034325533897,12,0.0012,9988,0,"{""-1"": 12, ""0"": 9988}"
standard17,13,208.01150776267116,-47.98849223732884,0.05,10000,204054,0.04900663549844649,16,True,191034325533897,1,0.0001,9988,0,"{""-1"": 1, ""0"": 9999}"
standard17,15,240.01608298306616,-15.983917016933844,0.001,10000,10148436,0.0009853735097703725,6,False,191034812473017,10000,1.0,0,0,"{""-1"": 10000}"
